sample,cell_model,condition,replicate,gene,well_type,dilution,Cq
MCF7-par_rep1,MCF7,parental,1,PARP12,sample,,
MCF7-par_rep1,MCF7,parental,1,PARP12,sample,,
MCF7-par_rep1,MCF7,parental,1,PARP12,sample,,
MCF7-par_rep1,MCF7,parental,1,PARP12,noRT,,
MCF7-par_rep1,MCF7,parental,1,CASP4,sample,,
MCF7-par_rep1,MCF7,parental,1,CASP4,sample,,
MCF7-par_rep1,MCF7,parental,1,CASP4,sample,,
MCF7-par_rep1,MCF7,parental,1,CASP4,noRT,,
MCF7-par_rep1,MCF7,parental,1,SH3TC1,sample,,
MCF7-par_rep1,MCF7,parental,1,SH3TC1,sample,,
MCF7-par_rep1,MCF7,parental,1,SH3TC1,sample,,
MCF7-par_rep1,MCF7,parental,1,SH3TC1,noRT,,
MCF7-par_rep1,MCF7,parental,1,LAMB1,sample,,
MCF7-par_rep1,MCF7,parental,1,LAMB1,sample,,
MCF7-par_rep1,MCF7,parental,1,LAMB1,sample,,
MCF7-par_rep1,MCF7,parental,1,LAMB1,noRT,,
MCF7-par_rep1,MCF7,parental,1,STAT1,sample,,
MCF7-par_rep1,MCF7,parental,1,STAT1,sample,,
MCF7-par_rep1,MCF7,parental,1,STAT1,sample,,
MCF7-par_rep1,MCF7,parental,1,STAT1,noRT,,
MCF7-par_rep1,MCF7,parental,1,ISG15,sample,,
MCF7-par_rep1,MCF7,parental,1,ISG15,sample,,
MCF7-par_rep1,MCF7,parental,1,ISG15,sample,,
MCF7-par_rep1,MCF7,parental,1,ISG15,noRT,,
MCF7-par_rep1,MCF7,parental,1,LGALS3BP,sample,,
MCF7-par_rep1,MCF7,parental,1,LGALS3BP,sample,,
MCF7-par_rep1,MCF7,parental,1,LGALS3BP,sample,,
MCF7-par_rep1,MCF7,parental,1,LGALS3BP,noRT,,
MCF7-par_rep1,MCF7,parental,1,MARCKS,sample,,
MCF7-par_rep1,MCF7,parental,1,MARCKS,sample,,
MCF7-par_rep1,MCF7,parental,1,MARCKS,sample,,
MCF7-par_rep1,MCF7,parental,1,MARCKS,noRT,,
MCF7-par_rep1,MCF7,parental,1,ACTB,sample,,
MCF7-par_rep1,MCF7,parental,1,ACTB,sample,,
MCF7-par_rep1,MCF7,parental,1,ACTB,sample,,
MCF7-par_rep1,MCF7,parental,1,ACTB,noRT,,
MCF7-par_rep1,MCF7,parental,1,GAPDH,sample,,
MCF7-par_rep1,MCF7,parental,1,GAPDH,sample,,
MCF7-par_rep1,MCF7,parental,1,GAPDH,sample,,
MCF7-par_rep1,MCF7,parental,1,GAPDH,noRT,,
MCF7-par_rep1,MCF7,parental,1,RPLP0,sample,,
MCF7-par_rep1,MCF7,parental,1,RPLP0,sample,,
MCF7-par_rep1,MCF7,parental,1,RPLP0,sample,,
MCF7-par_rep1,MCF7,parental,1,RPLP0,noRT,,
MCF7-par_rep1,MCF7,parental,1,TBP,sample,,
