gene,log2FC,t,P,FDR,AveExpr,sig
GPR179,6.32553470520563,85.9656745793235,1.2471586691794447e-13,1.7511354873948583e-09,3.3140643625626995,Up
IGFBP3,5.016962119436294,68.24120566042782,8.595126700895761e-13,3.663408314448735e-09,4.11327078588918,Up
SLC1A1,5.134612354257614,67.10606651497586,9.888559233979749e-13,3.663408314448735e-09,2.9887178818451616,Up
GUCY1A1,5.3393972383889166,64.02516594148426,1.4645083342558871e-12,3.663408314448735e-09,2.6836997240161176,Up
CFB,4.688306578043932,62.22822366867198,1.8577524738555512e-12,3.663408314448735e-09,3.3565085524835108,Up
TDRD1,-4.6308470957420065,-62.097283491780715,1.8907347816147217e-12,3.663408314448735e-09,2.3924575542827364,Down
APOL6,4.543437967420252,61.47560359260041,2.0565415156887636e-12,3.663408314448735e-09,2.872618129867145,Up
ACKR2,4.7855291423646,60.63494197362045,2.3072399830051754e-12,3.663408314448735e-09,2.6686930772246833,Up
EHF,4.477350004747816,60.50743680673585,2.348171414431922e-12,3.663408314448735e-09,2.261604895363054,Up
ZNF320,4.95585236858098,58.66314256297116,3.041054615455475e-12,4.112493161006584e-09,3.418833448623681,Up
NLGN4X,4.475748411109559,58.25901375676552,3.2218093277595916e-12,4.112493161006584e-09,2.2378742055547796,Up
PARM1,4.038154175443115,56.530306806144544,4.143385373824226e-12,4.613382187857375e-09,3.065155442361823,Up
RSAD2,4.962596378692091,56.32478975510246,4.2713459470227105e-12,4.613382187857375e-09,2.8894445056124582,Up
PLAT,4.47730366591375,53.93681405975131,6.13290477578207e-12,5.364775366693791e-09,2.876263425181543,Up
LRRN1,3.815705522226185,53.844303965145585,6.221437095124935e-12,5.364775366693791e-09,1.9357191659920492,Up
ASCL1,4.280456340687855,53.406127635422266,6.660678195193265e-12,5.364775366693791e-09,2.5152215582397743,Up
WDR72,5.990953536165476,53.36619709090192,6.7024009899827474e-12,5.364775366693791e-09,3.021079472549364,Up
CREB3L1,5.03483470267559,53.186031143440246,6.894326670788272e-12,5.364775366693791e-09,2.796834794475791,Up
NELL2,4.491720067713423,52.8582310024149,7.259506585512573e-12,5.364775366693791e-09,3.195549736994104,Up
GUCY1B1,4.136615051031312,51.71464384132359,8.71372173626174e-12,6.029101833310365e-09,2.220049394963428,Up
SLC16A14,-4.1504639664116505,-51.24539673318489,9.40258190369728e-12,6.029101833310365e-09,3.3770464684686945,Down
TFPI,-4.339485636386257,-51.21670538390564,9.446637727571256e-12,6.029101833310365e-09,4.0313665601049165,Down
CYP1A1,3.8496496958401076,50.69075492857831,1.0296604639646864e-11,6.2858532932731145e-09,2.508269616990772,Up
RORC,3.733387390363597,50.25375927408295,1.1068204970491632e-11,6.475361082944708e-09,3.2493109338725863,Up
KRT81,6.79743730576001,49.80555416237358,1.1927472717480492e-11,6.540047816558567e-09,5.244893662217687,Up
CMPK2,3.634573366408197,49.71483347133402,1.2110337100671089e-11,6.540047816558567e-09,3.469988873996711,Up
OLFML3,4.452819203661374,49.111813769262895,1.3408653938565452e-11,6.972996664866574e-09,2.5072258000582806,Up
DDX60,4.47099398751967,48.43826507548831,1.504630033909322e-11,7.545182252185997e-09,4.847680935489685,Up
MEIKIN,3.576540279443449,48.11969611837965,1.5897934011793997e-11,7.697341084813777e-09,1.7882701397217247,Up
GRAMD2A,3.737913532140713,47.35405882832542,1.8174261452141884e-11,8.506160168317474e-09,2.5958582539855306,Up
LRATD1,4.6212830246224605,46.96702606561808,1.946215044427881e-11,8.815098528648993e-09,3.3833389537216942,Up
BNIPL,3.4759949854585748,45.832033657031126,2.3867748249739824e-11,1.0472720411706152e-08,3.8030752806373136,Up
GFRA1,-3.753116179954511,-45.17520742413547,2.6921389916334555e-11,1.1454643509553137e-08,7.958072898904572,Down
DNAAF11,3.746471891712263,43.93850981561969,3.3933164105132604e-11,1.401339874118138e-08,2.1785100086299543,Up
DIO1,3.5595676673632886,43.50709789316299,3.6842925917131665e-11,1.4780329222927021e-08,2.505965947445316,Up
DNALI1,3.41717393016494,43.299418691811304,3.834243833338616e-11,1.4954616017752084e-08,2.188556542789656,Up
IFI44L,4.1929504055222795,43.114292877649504,3.9736852235533025e-11,1.5079598438895115e-08,2.7849042182265595,Up
OAS2,6.083364982377353,42.800637933743296,4.2230818436927656e-11,1.5604287412444768e-08,5.899499047238706,Up
OTULINL,3.1385481945325875,42.64036926896143,4.357243392400785e-11,1.5687193454538313e-08,3.717636932558422,Up
SYBU,3.056982618999572,42.387053269723346,4.579132771514173e-11,1.6073900811207626e-08,4.666769568764663,Up
APOL1,4.273024929083874,42.2311881300458,4.721932037147234e-11,1.6170889691118124e-08,2.7755422631606756,Up
OAS1,3.4697282535029044,41.75885637285833,5.1860245110654996e-11,1.7337373847588258e-08,5.917580143165207,Up
LCN2,3.506475159904703,41.51222707879203,5.4484846371331576e-11,1.7453306166450745e-08,2.091336035296405,Up
MX2,3.257291101649533,41.470884309737805,5.49391952160542e-11,1.7453306166450745e-08,2.623832841853314,Up
CAV1,-4.9925281612756915,-41.376952472524316,5.5987330637024994e-11,1.7453306166450745e-08,5.982456985638777,Down
C1orf116,2.9497186887303948,41.18297290027866,5.822341788495455e-11,1.7453306166450745e-08,1.5251312496475495,Up
MALRD1,-3.395551636195292,-41.13996065406558,5.87326668135118e-11,1.7453306166450745e-08,2.7860396813448713,Down
NIBAN1,3.8439003801910996,40.95212178680468,6.101579396013012e-11,1.7453306166450745e-08,2.853223897790995,Up
