term,size,ES,NES,p,FDR
TNF-alpha Signaling via NF-kB,165,0.5768391228612573,2.2982176395930445,0.0006510416666666666,0.0027793218454697055
Glycolysis,180,0.4366123619284554,1.7489943669015402,0.0006523157208088715,0.0027793218454697055
Hypoxia,168,0.48456043613645733,1.9253775309323986,0.0006662225183211193,0.0027793218454697055
Complement,142,0.49150543535142033,1.9287544435153756,0.0006666666666666666,0.0027793218454697055
IL-2/STAT5 Signaling,143,0.4342645525216692,1.6803012727921058,0.0006684491978609625,0.0027793218454697055
Apoptosis,129,0.45419486823427513,1.7770998589563975,0.0006798096532970768,0.0027793218454697055
Epithelial Mesenchymal Transition,137,0.6673355201796569,2.61309530610298,0.0006891798759476223,0.0027793218454697055
Interferon Gamma Response,146,0.7321682020153669,2.877571305955223,0.000693000693000693,0.0027793218454697055
KRAS Signaling Up,121,0.4642158380452198,1.7833023352545452,0.0007067137809187279,0.0027793218454697055
Coagulation,80,0.632327923296338,2.279949105003644,0.0007142857142857143,0.0027793218454697055
Inflammatory Response,106,0.5256613826880453,1.9629379724298242,0.0007178750897343862,0.0027793218454697055
Allograft Rejection,94,0.5513593614907416,2.0428384903645784,0.0007347538574577516,0.0027793218454697055
Interferon Alpha Response,82,0.8111976203358588,2.9210036926104754,0.000741839762611276,0.0027793218454697055
IL-6/JAK/STAT3 Signaling,46,0.6007404230226683,1.9517263783185301,0.0007782101167315176,0.0027793218454697055
Spermatogenesis,70,-0.45116957078004016,-1.7568840399569843,0.0015267175572519084,0.005089058524173028
G2-M Checkpoint,195,-0.4195711710014966,-1.94209458219981,0.00205761316872428,0.006430041152263375
E2F Targets,197,-0.5193218321281361,-2.3869961301730513,0.0024271844660194173,0.00713877784123358
Myc Targets V1,195,-0.3302217790762322,-1.5167545460367027,0.004405286343612335,0.012236906510034264
Estrogen Response Early,185,0.360062303473059,1.4470408339356018,0.005298013245033113,0.013942140118508192
Hedgehog Signaling,29,0.5832754622809263,1.7354170252424412,0.005681818181818182,0.014204545454545456
Angiogenesis,22,0.649783312746421,1.812603991319542,0.006785411365564037,0.01615574134658104
TGF-beta Signaling,51,0.48001137812103833,1.6067724077815837,0.008661417322834646,0.01968503937007874
KRAS Signaling Dn,93,-0.3574687946086386,-1.4799033036374007,0.013136288998357963,0.028557149996430355
Estrogen Response Late,178,0.34473226413657165,1.3928941400034938,0.015737704918032787,0.03278688524590164
Myogenesis,129,0.3564991722244837,1.3739265351528456,0.02518720217835262,0.05037440435670524
Apical Junction,143,0.35184717396415366,1.3852110485513893,0.026437541308658295,0.050841425593573644
Wnt-beta Catenin Signaling,36,0.4594533388079837,1.4424086308998902,0.04612850082372323,0.08407540735126942
UV Response Up,136,0.3411626695052842,1.3341824498924713,0.047082228116710874,0.08407540735126942
Cholesterol Homeostasis,68,-0.3450458036975874,-1.35490259693321,0.05547652916073969,0.09564918820817188
Adipogenesis,171,0.30510678173324557,1.2283565228651698,0.10268456375838926,0.17114093959731544
UV Response Dn,125,0.32053034363780164,1.2310248358497045,0.11269517990495587,0.1817664192015417
Mitotic Spindle,194,-0.24558677498728937,-1.145546757146201,0.1185682326621924,0.1852628635346756
p53 Pathway,185,0.29576441410250415,1.1958858700619925,0.12344872632266493,0.1870435247313105
Xenobiotic Metabolism,135,0.30620416857186683,1.1981207199786867,0.13231382978723405,0.19457916145181478
Oxidative Phosphorylation,198,-0.23950582371544177,-1.1108630030924211,0.17943107221006566,0.2563301031572367
Apical Surface,34,-0.3542100981899873,-1.1947162693611773,0.18985695708712613,0.2636902181765641
Androgen Response,92,0.2912456595051224,1.072341370511521,0.3275862068965517,0.4426840633737186
Reactive Oxygen Species Pathway,45,0.3232655852620462,1.0546306335623352,0.37441130298273156,0.48428582911341533
Pperoxisome,90,-0.2535875339208833,-1.0358997102770564,0.3777429467084639,0.48428582911341533
Notch Signaling,29,0.35462894407729795,1.0534151012151876,0.398834304746045,0.49854288093255616
Fatty Acid Metabolism,127,0.23707234767878263,0.9132106849669018,0.6507607192254495,0.7936106332017677
Pancreas Beta Cells,15,-0.30371617861013367,-0.8180659063826686,0.7174940898345153,0.8541596307553754
Bile Acid Metabolism,74,0.2317459299899866,0.8289557237725312,0.7835595776772247,0.911115787996773
heme Metabolism,156,0.2043719599203896,0.8142218286694751,0.8656313301823092,0.9836719661162604
Unfolded Protein Response,107,0.19824699288827227,0.7486842740891796,0.922077922077922,0.9900198323843644
Protein Secretion,93,-0.1824528083770366,-0.7607266227040701,0.9448160535117057,0.9900198323843644
mTORC1 Signaling,189,-0.1767296822039749,-0.8118071844527681,0.9535353535353536,0.9900198323843644
DNA Repair,143,-0.17627030955996692,-0.7780815458434238,0.968503937007874,0.9900198323843644
PI3K/AKT/mTOR  Signaling,92,-0.1702806356623926,-0.7065743430705527,0.9702194357366771,0.9900198323843644
Myc Targets V2,57,0.12746953329945696,0.43420175272980244,1.0,1.0
