term,overlap,set_size,query_size,p,genes,FDR,fold,direction,library
Defense Response To Symbiont (GO:0140546),16,96,264,1.8511777004075624e-10,DDIT4;DDX60;DDX60L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF1;IRF7;ISG15;NLRC5;OASL;RSAD2;STAT1,2.612011735275071e-07,7.761363636363637,Up,GO_BP
Defense Response To Virus (GO:0051607),16,128,264,1.4116202188423808e-08,DDIT4;DDX60;DDX60L;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IRF1;IRF7;ISG15;NLRC5;OASL;RSAD2;STAT1,9.958980643932996e-06,5.821022727272727,Up,GO_BP
Neuron Projection Development (GO:0031175),12,129,264,2.109091224482822e-05,BMP7;DCLK1;L1CAM;LAMB1;MICALL2;NBL1;NMNAT2;PLXNA3;SHANK3;TNIK;ULK1;UNC5A,0.009919759059150874,4.331923890063425,Up,GO_BP
Negative Regulation Of Viral Process (GO:0048525),7,47,264,5.868056684477948e-05,IFIT1;IFITM1;IFITM3;ISG15;OASL;RSAD2;STAT1,0.020699569954495962,6.935686653771761,Up,GO_BP
Cellular Response To Type I Interferon (GO:0071357),5,22,264,8.580934027815716e-05,IFIT1;IFITM1;IFITM3;SP100;STAT1,0.02163879482281569,10.583677685950414,Up,GO_BP
Positive Regulation Of Response To External Stimulus (GO:0032103),9,86,264,9.201471930325595e-05,ADAM8;CASP4;IL18;LGALS1;OPTN;PLAT;S100A9;SERPINF2;WNT5A,0.02163879482281569,4.873414376321353,Up,GO_BP
Negative Regulation Of Viral Genome Replication (GO:0045071),6,38,264,0.00014356918033462489,IFIT1;IFITM1;IFITM3;ISG15;OASL;RSAD2,0.028939444778879386,7.3528708133971294,Up,GO_BP
Positive Regulation Of Inflammatory Response (GO:0050729),7,57,264,0.00020550072729827633,ADAM8;CASP4;IL18;LGALS1;OSMR;S100A9;WNT5A,0.034490701292630835,5.7188995215311005,Up,GO_BP
Interferon-Mediated Signaling Pathway (GO:0140888),5,27,264,0.00024094336235986791,IFITM1;IFITM3;IRF1;SP100;STAT1,0.034490701292630835,8.623737373737374,Up,GO_BP
Regulation Of Anatomical Structure Morphogenesis (GO:0022603),9,98,264,0.0002518036647748425,KIF1A;KNDC1;LFNG;PHLDB2;PID1;SHANK3;SP100;TNFAIP3;TNIK,0.034490701292630835,4.2766697588126155,Up,GO_BP
Neuron Projection Morphogenesis (GO:0048812),9,100,264,0.00029326021579744875,ADGRB1;APLP1;BMP7;DCLK1;MAPK8IP2;NBL1;PLXNA3;SHANK3;TNIK,0.034490701292630835,4.191136363636364,Up,GO_BP
Inflammatory Response (GO:0006954),9,102,264,0.00034021211895648307,ADAM8;APOL2;BDKRB2;F2R;IL18;PARP4;PLA2G4C;S100A9;WNT5A,0.034490701292630835,4.108957219251336,Up,GO_BP
Negative Regulation Of Endopeptidase Activity (GO:0010951),5,29,264,0.00034221815598641506,BIN1;CST3;SERPINA1;SERPINB6;SERPINF2,0.034490701292630835,8.02899686520376,Up,GO_BP
Negative Regulation Of Peptidase Activity (GO:0010466),5,29,264,0.00034221815598641506,CST3;ECM1;SERPINA1;SERPINB6;SERPINF2,0.034490701292630835,8.02899686520376,Up,GO_BP
Positive Regulation Of Cytokine Production (GO:0001819),12,174,264,0.00037491693373720066,F2R;HLA-A;IL18;IRF1;IRF5;IRF7;ISG15;NOX5;RFTN1;SERPINF2;TICAM1;WNT5A,0.03526718623354601,3.2115987460815045,Up,GO_BP
Blood Vessel Morphogenesis (GO:0048514),5,31,264,0.00047277983644922135,EGFL7;ID1;SERPINF2;SLC1A1;STRA6,0.03783396912575514,7.510997067448681,Up,GO_BP
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),9,107,264,0.00048531114934957013,BMP7;ID1;ID3;KLF4;NLRC5;PKD1;PTCH1;SP100;TNFAIP3,0.03783396912575514,3.9169498725573484,Up,GO_BP
