term,HR,lower,upper,p,coef,model,cohort,n
risk_sd,1.5299528254522807,1.1936730367744424,1.960968854950963,0.0007850540034820626,0.4252369018912712,Univariable,TCGA,
age,1.001397835154022,0.984273564417479,1.0188200318522684,0.8738803956199994,0.001396859091939809,Univariable,TCGA,
stage_II,2.1014973041799987,0.9287617197036128,4.755031162228707,0.0746501383094685,0.7426500926546925,Univariable,TCGA,
stage_III-IV,5.343006816583362,2.3554419063502268,12.119900628876541,6.0682922087264e-05,1.6757885687718188,Univariable,TCGA,
risk_sd,1.512832505574276,1.1727492472093088,1.9515358422683071,0.0014396598133880492,0.4139837251581557,Multivariable,TCGA,628.0
age,1.0093461372258854,0.9912069093060261,1.0278173156057742,0.3146852352032148,0.009302732321234864,Multivariable,TCGA,628.0
stage_II,2.3106465611915774,1.0154346262253147,5.2579332956110685,0.04587819133283569,0.8375273819896815,Multivariable,TCGA,628.0
stage_III-IV,5.748889021842551,2.507544828273696,13.180113317541236,3.601446872485555e-05,1.7490066225485084,Multivariable,TCGA,628.0
risk_sd,0.9198600809521706,0.8454143740495785,1.0008613462251266,0.05237914022829501,-0.08353370642684123,Univariable,METABRIC,
age,1.0021156112136687,0.9947757968541459,1.0095095813689021,0.5731152718020653,0.0021133764596236917,Univariable,METABRIC,
stage_II,1.4993043207981893,1.2037461526873494,1.86743146912302,0.0002999090065060495,0.40500121439157,Univariable,METABRIC,
stage_III-IV,3.6408886839666854,2.600438999226196,5.0976279055118106,5.242572143498122e-14,1.2922277957972574,Univariable,METABRIC,
grade_3,1.4379564702009886,1.206684528726821,1.7135537590546115,4.906015903226876e-05,0.3632229877704325,Univariable,METABRIC,
risk_sd,0.9866664572904462,0.895577750825528,1.0870197445668057,0.7859173443052472,-0.01342323253779204,Multivariable,METABRIC,996.0
age,0.9954274200703359,0.9867447455211623,1.0041864961789493,0.3052034850669957,-0.004583066151539521,Multivariable,METABRIC,996.0
stage_II,1.4440898160092777,1.1458751194949057,1.8199150685992185,0.0018468281051249333,0.36747923798873705,Multivariable,METABRIC,996.0
stage_III-IV,3.6469692617470053,2.570843032170681,5.173549932722796,4.082070961387207e-13,1.293896483424423,Multivariable,METABRIC,996.0
grade_3,1.3135845758952653,1.07058929863126,1.6117333138263088,0.008959908204330578,0.2727597177890405,Multivariable,METABRIC,996.0
