gene,importance,sd,in_core
MYO5B,0.26450761062985456,0.09544559006795708,False
PLEKHA7,0.2111140735221893,0.09953365817711167,False
ADGRB1,0.12747454357655402,0.05327793639726243,True
MAPK8IP2,0.10294390708011181,0.0527142711150056,True
LAMB1,0.07769722427614267,0.042306599693643476,True
SPTSSB,0.03922772571589467,0.03851021637854604,True
MMP16,0.03756160907450022,0.03742910650980751,False
MAL2,0.030115893305823767,0.04504434008924927,True
PARP12,0.024728928890116283,0.0341354284495071,True
TMSB10,0.01847903835702111,0.0223517332385498,False
ISG15,0.01731385127671988,0.024385114460044707,False
DOC2B,0.015417807397841262,0.02313716421515421,False
SH3TC1,0.013214472369693248,0.018252064092866758,True
ABCG2,0.00840456320897617,0.01923315601258467,False
KLF13,0.003919750853808725,0.006363368634085733,False
LGALS3BP,0.003460405595823668,0.008697104815979257,True
PID1,0.0025698906669790736,0.006866618199503126,True
RNF152,0.001430416355116429,0.006182919779526395,True
HELZ2,9.264659313862222e-05,0.00019814043117414277,False
FADS3,6.481358617883238e-05,0.000158741183319025,True
IRF1,3.960952469171122e-05,9.992296535549516e-05,False
IFIT1,3.1101057228360416e-05,3.4036934581868774e-05,False
IRF7,3.0316777635727732e-05,4.8234468563718336e-05,False
CMPK2,2.689705461008181e-05,3.8583211674913146e-05,False
NCKAP5,2.1390574420762523e-05,5.6186628157131535e-05,True
IGFBP3,2.1182595456745074e-05,3.238152548614415e-05,False
IFI6,1.76893038865076e-05,2.7713444927416454e-05,False
DDX60,8.384233425086614e-06,1.660972312974021e-05,False
SLC1A1,7.401638738211566e-06,1.4424470599340673e-05,True
MARCKS,7.224605574344431e-06,1.0604711756412933e-05,True
STAT1,7.066859595040257e-06,2.4908946466183075e-05,False
CASP4,5.946845558173628e-06,1.1376056367721675e-05,True
TET1,5.880646234609311e-06,1.3170816701863845e-05,False
RIPPLY3,5.857434270613207e-06,7.5888824277182985e-06,False
MYADM,5.669350945741855e-06,1.5785022105051478e-05,True
IFI44,5.344661885224554e-06,1.3916812389973896e-05,False
RSAD2,3.827936546105881e-06,7.982903183760165e-06,False
OASL,3.3831549071429263e-06,5.548215574940477e-06,False
EYA2,3.3765932395158004e-06,7.209545738338142e-06,False
IFIT2,2.02414381100618e-06,5.07375739611795e-06,False
DDX60L,7.31112805936787e-07,1.6132092720017623e-06,True
IFIT3,5.215620491320878e-07,1.8724163079014485e-06,False
