name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
phosphotyrosine (crystal ligand),control,N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)O,261.16999999999996,0.1125000000000001,4,4,130.07999999999998,5,0.5532020239619273,17,0
palbociclib,control,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,447.54300000000035,2.965820000000001,2,8,105.03999999999999,5,0.5754108874418277,33,0
PRAZOSIN,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.40800000000024,1.7845999999999997,1,8,106.95,4,0.7265621787893097,28,0
NICOTINE,CHEMBL3,CN1CCC[C@H]1c1cccnc1,162.236,1.8483,0,2,16.130000000000003,1,0.6261518225795569,12,0
OFLOXACIN,CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37300000000005,1.5439999999999998,1,5,75.00999999999999,2,0.8747398264671755,26,0
NALIDIXIC ACID,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.23899999999998,1.4230200000000002,1,3,72.19,2,0.849523695002097,17,0
INDOMETHACIN,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.793,3.9273200000000026,1,3,68.53,4,0.7678065120522066,25,0
SULBACTAM,CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.24499999999998,-0.794999999999999,1,4,91.75,1,0.5988163606060163,15,0
TAZOBACTAM,CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.296,-1.523199999999998,1,6,122.45999999999998,3,0.6721670015102429,20,0
CIPROFLOXACIN,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.34700000000004,1.5833,2,4,74.57,3,0.8932298763507216,24,0
NORFLOXACIN,CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.336,1.2683,2,4,74.57000000000001,3,0.8910262977655083,23,0
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,135.20999999999998,1.5763,1,1,26.02,2,0.6542162175383444,10,0
ISOSORBIDE DINITRATE,CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.13599999999997,-1.0622000000000003,0,8,123.20000000000002,4,0.44641049179076997,16,0
IMIPRAMINE,CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.415,3.8750000000000027,0,2,6.48,4,0.8384623265941307,21,0
INDAPAMIDE,CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84200000000004,2.0834,2,4,92.5,3,0.8705249450646536,24,0
