sample,group,cell,dataset
GSM3738651,Resistant,MCF7,GSE130437
GSM3738652,Resistant,MCF7,GSE130437
GSM3738653,Resistant,MCF7,GSE130437
GSM3738654,Sensitive,MCF7,GSE130437
GSM3738655,Sensitive,MCF7,GSE130437
GSM3738656,Sensitive,MCF7,GSE130437
GSM6921637,Sensitive,MCF7,GSE222367
GSM6921638,Sensitive,MCF7,GSE222367
GSM6921639,Sensitive,MCF7,GSE222367
GSM6921640,Resistant,MCF7,GSE222367
GSM6921641,Resistant,MCF7,GSE222367
GSM6921642,Resistant,MCF7,GSE222367
GSM6921644,Resistant,MCF7,GSE222367
GSM6921645,Resistant,MCF7,GSE222367
GSM6921646,Resistant,MCF7,GSE222367
GSM6921647,Resistant,MCF7,GSE222367
GSM6921648,Resistant,MCF7,GSE222367
GSM6921650,Resistant,MCF7,GSE222367
GSM6921651,Resistant,MCF7,GSE222367
GSM6921652,Sensitive,MCF7,GSE222367
GSM6921653,Sensitive,MCF7,GSE222367
GSM6921654,Sensitive,MCF7,GSE222367
GSM6921664,Sensitive,T47D,GSE222367
GSM6921665,Sensitive,T47D,GSE222367
GSM6921666,Sensitive,T47D,GSE222367
GSM6921667,Resistant,T47D,GSE222367
GSM6921668,Resistant,T47D,GSE222367
GSM6921669,Resistant,T47D,GSE222367
GSM6921670,Resistant,T47D,GSE222367
GSM6921671,Resistant,T47D,GSE222367
GSM6921672,Resistant,T47D,GSE222367
GSM6921673,Resistant,T47D,GSE222367
GSM6921674,Resistant,T47D,GSE222367
GSM6921675,Resistant,T47D,GSE222367
GSM6921676,Resistant,T47D,GSE222367
GSM6921677,Resistant,T47D,GSE222367
GSM6921678,Resistant,T47D,GSE222367
ET-R biol rep 1,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 2,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 3,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 4,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 5,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 6,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 7,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 8,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 9,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 10,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 11,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 12,Sensitive,PDX-ET-R,GSE229235
ET-R biol rep 13,Sensitive,PDX-ET-R,GSE229235
PR-1 biol rep 1,Resistant,PDX-PR-1,GSE229235
PR-1 biol rep 2,Resistant,PDX-PR-1,GSE229235
PR-1 biol rep 3,Resistant,PDX-PR-1,GSE229235
PR-1 biol rep 4,Resistant,PDX-PR-1,GSE229235
PR-1 biol rep 5,Resistant,PDX-PR-1,GSE229235
PR-1 biol rep 6,Resistant,PDX-PR-1,GSE229235
PR-2 biol rep 1,Resistant,PDX-PR-2,GSE229235
PR-2 biol rep 2,Resistant,PDX-PR-2,GSE229235
PR-2 biol rep 3,Resistant,PDX-PR-2,GSE229235
PR-2 biol rep 4,Resistant,PDX-PR-2,GSE229235
PR-2 biol rep 5,Resistant,PDX-PR-2,GSE229235
PR-2 biol rep 6,Resistant,PDX-PR-2,GSE229235
PR-3 biol rep 1,Resistant,PDX-PR-3,GSE229235
PR-3 biol rep 2,Resistant,PDX-PR-3,GSE229235
PR-3 biol rep 3,Resistant,PDX-PR-3,GSE229235
PR-3 biol rep 4,Resistant,PDX-PR-3,GSE229235
PR-3 biol rep 5,Resistant,PDX-PR-3,GSE229235
PR-3 biol rep 6,Resistant,PDX-PR-3,GSE229235
PR-4 biol rep 1,Resistant,PDX-PR-4,GSE229235
PR-4 biol rep 2,Resistant,PDX-PR-4,GSE229235
PR-4 biol rep 3,Resistant,PDX-PR-4,GSE229235
PR-4 biol rep 4,Resistant,PDX-PR-4,GSE229235
PR-4 biol rep 5,Resistant,PDX-PR-4,GSE229235
PR-4 biol rep 6,Resistant,PDX-PR-4,GSE229235
