model,AUC,CI_low,CI_high
SPTSSB,0.9975510204081633,0.988887648809524,1.0
MAPK8IP2,1.0,1.0,1.0
ADGRB1,1.0,1.0,1.0
DDX60L,0.9240816326530612,0.853587527996664,0.9774036016949152
NCKAP5,0.9877551020408164,0.966780303030303,1.0
FADS3,0.9959183673469388,0.9849922248803828,1.0
PID1,0.9885714285714288,0.9624814834968832,1.0
PARP12,0.9983673469387756,0.9925,1.0
RNF152,0.9861224489795919,0.9635049171842651,1.0
CASP4,0.9620408163265306,0.9190672348484848,0.991670918367347
MAL2,0.9983673469387756,0.9919871794871795,1.0
SH3TC1,0.996734693877551,0.9863636363636364,1.0
LAMB1,1.0,1.0,1.0
MYADM,0.9453061224489796,0.8865201247165534,0.9889726654846336
MARCKS,0.9681632653061224,0.922448099929627,0.9982949701619778
LGALS3BP,0.9959183673469388,0.9842657342657344,1.0
SLC1A1,0.9477551020408164,0.8789369644494386,0.998368099162742
Combined (10-fold CV),1.0,1.0,1.0
Leave-out GSE130437,1.0,1.0,1.0
Leave-out GSE222367,1.0,1.0,1.0
Leave-out GSE229235,1.0,1.0,1.0
