,Degree,MCC,Betweenness,Closeness,n_top,direction,meanLFC
IFIT3,28,225733140146.0,0.048281316247059676,0.32122905027932963,4,Up,2.0950633297990318
ISG15,31,225733138887.0,0.09983494695222582,0.32670454545454547,4,Up,3.714144486095444
STAT1,44,213159348539.0,0.3325839225438283,0.3758169934640523,4,Up,1.853038172190569
CMPK2,21,112608921603.0,0.05050664584803095,0.3062583222370173,4,Up,2.3770259283520705
IRF1,30,12457673085.0,0.04909042461504154,0.323943661971831,4,Up,2.0120454109315173
IFIT1,24,225733138560.0,0.0029334042532768514,0.31039136302294196,3,Up,2.7227509259326257
IFIT2,23,225733137840.0,0.001696118953465371,0.3078982597054886,3,Up,1.9089371730957967
DDX60,24,225733134360.0,0.0018206864110042113,0.3074866310160428,3,Up,3.208493821835489
IFI44,25,225733133646.0,0.008894519647736073,0.31550068587105623,3,Up,2.80488141170326
RSAD2,24,224691672962.0,0.006481052894648292,0.30831099195710454,3,Up,2.394202382931046
OASL,22,224691672240.0,0.0016219276503597303,0.3074866310160428,3,Up,2.6298454328882137
IFI6,22,224172748921.0,0.013763681818814778,0.3150684931506849,3,Up,3.040671813871839
IRF7,27,213159342553.0,0.020831707325845127,0.3207810320781032,3,Up,1.479133377076278
HELZ2,21,200302502402.0,0.04693386495300072,0.3058510638297872,3,Up,3.0700025030692477
SAMD9,18,188367379200.0,0.0005138682789946896,0.30223390275952694,2,Up,2.0891208973276605
PARP12,18,187848460801.0,0.009961961198073481,0.3006535947712418,2,Up,2.0202715614393654
SP110,18,94443148801.0,0.01002681191197709,0.304635761589404,2,Up,1.5252641182562
IFITM1,19,37362124820.0,0.015971518483339366,0.304635761589404,2,Up,2.1242457717491874
IFITM3,16,18681062402.0,0.011718733978175456,0.29986962190352023,2,Up,3.1094416962602005
CASP8,14,184.0,0.06671060435260127,0.30831099195710454,2,Up,1.4726497048976317
IL18,15,151.0,0.05437484571681578,0.323943661971831,2,Up,1.6869895348419963
L1CAM,11,20.0,0.1370666659635315,0.33285094066570187,2,Up,2.667723363872789
BIN1,8,8.0,0.12089264875437512,0.3074866310160428,2,Up,3.220148976537365
DDX60L,16,12573792000.0,0.0003124836627817431,0.26837806301050177,1,Up,2.854446669954678
LY6E,17,12454041727.0,0.009663551443556127,0.3034300791556728,1,Up,2.043414425320356
B2M,16,880.0,0.030378870567644142,0.3108108108108108,1,Up,1.0592723907324495
CD24,10,36.0,0.049193036233224206,0.2843016069221261,1,Down,-2.0881451143880105
EPCAM,12,35.0,0.053993567387402235,0.2971576227390181,1,Down,-1.9677055488776605
KLF4,10,34.0,0.04622205741195905,0.30997304582210244,1,Up,1.3175958869866264
ABCG2,7,27.0,0.054506046731220475,0.28117359413202936,1,Down,-2.3868952434578854
ITGA5,11,23.0,0.04943655777437136,0.2804878048780488,1,Up,3.275832633588115
PLEK2,15,16.0,0.11525536471700693,0.2832512315270936,1,Up,1.1169660948725737
CD63,10,12.0,0.048204581965851784,0.28714107365792757,1,Up,1.155268628927767
RDX,11,11.0,0.10500437487232825,0.2926208651399491,1,Down,-1.6822054912400874
WNT5A,8,10.0,0.05011431382120462,0.25442477876106195,1,Up,1.613246126102905
DGAT1,4,4.0,0.048223181394352305,0.23565573770491804,1,Up,1.0591942200655728
UBE2E2,3,3.0,0.0597212629219429,0.25813692480359146,1,Up,1.2221400023930336
UBA5,3,3.0,0.05122460603759256,0.2075812274368231,1,Down,-1.130024650755416
DTX3L,16,1041466320.0,0.0005491236760061628,0.29986962190352023,0,Up,1.372290041988436
SP100,14,518918401.0,0.017883302153109473,0.2952503209242619,0,Up,1.5830516570210835
IRF5,13,5066.0,0.013811722009156204,0.2975420439844761,0,Up,1.844725398373783
NLRC5,10,1536.0,0.0007348536379402008,0.29562982005141386,0,Up,2.010260869914335
TICAM1,9,282.0,0.0018786396427818586,0.2937420178799489,0,Up,1.1596302852378289
TNFAIP3,10,169.0,0.01910754066305457,0.2915082382762991,0,Up,1.766384686585484
LGALS3BP,9,124.0,0.023359036795683786,0.2882205513784461,0,Up,4.43322897736369
HLA-A,10,63.0,0.018839369680626727,0.29411764705882354,0,Up,1.1991751245101496
PSMB10,6,49.0,0.01008799863420676,0.29224904701397714,0,Up,1.0571555490319386
NES,10,33.0,0.03774813181348622,0.29449423815621,0,Up,2.223838391451436
TRAF1,5,30.0,0.00014054132300753442,0.25583982202447164,0,Up,1.383338246691807
GNG4,8,23.0,0.023150924945211197,0.24185068349106204,0,Up,2.4391043271910315
IL4R,7,22.0,0.003850756110728238,0.2963917525773196,0,Up,2.4979306698559665
GNG12,7,22.0,0.014455272771298149,0.2415966386554622,0,Up,1.235717439981621
SERPINA1,10,17.0,0.02929670611325297,0.2787878787878788,0,Up,2.9004459874352952
LAMB1,7,17.0,0.009469185784627045,0.2662037037037037,0,Up,2.711807104225579
LAMA3,7,16.0,0.0170605724698737,0.24390243902439024,0,Up,1.2772984677596777
BDKRB2,7,16.0,0.018185143350536427,0.21395348837209302,0,Up,1.665572818335592
RGS16,5,14.0,0.014053493103449945,0.23711340206185566,0,Down,-1.7487884286281965
LIF,7,13.0,0.012558946676155522,0.2971576227390181,0,Up,1.9627441760209197
CST3,6,12.0,0.005325335395499137,0.26713124274099886,0,Up,1.2767374557546698
JUNB,6,11.0,0.010556782626271901,0.2904040404040404,0,Up,1.19553969620181
PLAT,9,10.0,0.03301460821334901,0.26376146788990823,0,Up,3.3276725633690383
SERPINF2,5,10.0,0.004770049288493382,0.24287222808870115,0,Up,1.335707229212377
NRP2,5,10.0,0.00573429281827733,0.2564102564102564,0,Up,1.8649202864151733
CFB,7,10.0,0.022703324558939728,0.2634593356242841,0,Up,3.0268207268952207
KIF1A,6,9.0,0.019864627015980057,0.23858921161825727,0,Up,2.9098084085196665
APOL6,6,9.0,0.016763258474540743,0.28967254408060455,0,Up,2.744898578040772
PLXNA3,5,9.0,0.011017695078742345,0.2533039647577093,0,Up,1.0141331154335766
CASP4,4,8.0,0.002282037806723451,0.26775320139697323,0,Up,2.1653040194828908
RGS11,4,8.0,0.0054638001327518,0.23517382413087934,0,Up,1.2714188331929632
AREG,6,8.0,0.014472069742223408,0.2696365767878077,0,Up,2.5587977562521664
KIF5C,5,8.0,0.017223268732833995,0.25386313465783666,0,Up,1.906220723041587
GPSM2,4,8.0,0.0017562768091443632,0.19776440240756663,0,Down,-1.0280003909555575
PLEC,7,7.0,0.03607175289413531,0.2860696517412935,0,Up,1.991564390746409
STUB1,7,7.0,0.042653958563689545,0.27283511269276395,0,Up,1.1465174569415115
COL5A1,3,6.0,0.0,0.22704837117472854,0,Up,4.2462326680306335
ITGA10,3,6.0,0.0,0.22704837117472854,0,Down,-1.3572700916547378
ID1,5,6.0,0.016233986538404313,0.21904761904761905,0,Up,2.0255616274018755
TPM1,6,6.0,0.037654712454806435,0.2777777777777778,0,Down,-1.2318116354388189
BMP7,5,6.0,0.012699718206338362,0.21575984990619138,0,Up,2.444385861456505
KIFC2,3,6.0,0.0,0.2135561745589601,0,Up,1.575655602897465
KIF26A,3,6.0,0.0,0.2135561745589601,0,Up,1.7828906763781631
SEMA3B,3,6.0,0.0,0.25164113785557984,0,Up,1.890060022495314
BIK,4,5.0,0.008708309600658186,0.2368692070030896,0,Up,1.47845030286539
KCNH2,5,5.0,0.0325942493470498,0.24008350730688935,0,Up,2.177315430834082
KCNMA1,5,5.0,0.01819939636575404,0.25555555555555554,0,Up,1.9242284956277576
APOL1,5,5.0,0.010784377455282065,0.25555555555555554,0,Up,2.3236237337968064
PTCH1,5,5.0,0.025272092854927087,0.25164113785557984,0,Up,1.0626426436548224
IGFBP3,5,5.0,0.028221380608123053,0.2718676122931442,0,Up,2.433643928368737
LGALS1,4,4.0,0.004844308128099534,0.26436781609195403,0,Up,2.52899181288435
BBC3,3,4.0,0.0009418853255232008,0.2541436464088398,0,Up,1.1517967067998331
PGGHG,4,4.0,0.017315359787355232,0.23493360572012256,0,Up,1.3809205044901398
GAB2,4,4.0,0.028451016090937493,0.29336734693877553,0,Down,-1.6269559381656975
FERMT2,3,4.0,0.0045372809272056945,0.2680652680652681,0,Down,-1.115272847610298
PTHLH,4,4.0,0.01843876815859533,0.26775320139697323,0,Up,1.208051698381023
ECM1,4,4.0,0.0038155680531173344,0.25669642857142855,0,Up,2.1995740202561787
APLP1,4,4.0,0.024190007593451884,0.25813692480359146,0,Up,1.9583933068890296
LFNG,4,4.0,0.02593506740079742,0.19861830742659758,0,Up,2.544095817224042
SORT1,4,4.0,0.013555836299924285,0.2535832414553473,0,Down,-1.734232251857964
MAP2K3,4,4.0,0.03815155844638735,0.19658119658119658,0,Up,1.1275565287802098
OPTN,4,4.0,0.015385894081992995,0.24338624338624337,0,Up,1.2796833884575527
ID3,4,4.0,0.009866895671358414,0.21296296296296297,0,Up,1.2433702201215302
NEDD9,4,4.0,0.01910251116803569,0.23858921161825727,0,Down,-1.7368347291748023
TUBB3,4,4.0,0.006024464745119509,0.25442477876106195,0,Up,2.398001919776893
HMGCS1,4,4.0,0.03590028306251551,0.2462526766595289,0,Down,-1.3937391773739003
STEAP3,4,4.0,0.004401736606585893,0.20426287744227353,0,Up,1.2060934959053795
OSBPL6,3,3.0,0.004224579192933793,0.2524698133918771,0,Up,1.3378903054151614
FARP1,3,3.0,0.011041529491702048,0.2237354085603113,0,Down,-1.1476150337609206
NME3,3,3.0,0.03822968324717637,0.23760330578512398,0,Up,1.9446110345438683
GUCY1B1,3,3.0,0.02205349186688398,0.19491525423728814,0,Up,2.031324013777086
F2R,3,3.0,0.010281669850804004,0.23493360572012256,0,Up,2.7340493192668
PKD1,3,3.0,0.012630114114968281,0.286783042394015,0,Up,1.037988625893285
NRARP,3,3.0,0.02485123800832333,0.2318548387096774,0,Down,-1.4542479052429036
ALDH1A3,3,3.0,0.01735333206759066,0.22243713733075435,0,Up,2.3364382935866743
STK26,3,3.0,0.01735333206759066,0.2274975272007913,0,Down,-1.1191084511136795
MYO5B,3,3.0,0.006069832858829832,0.23517382413087934,0,Down,-2.800623808238562
ARG2,3,3.0,0.008695652173913044,0.2744630071599045,0,Down,-1.021150086679027
MCOLN3,3,3.0,0.00033726014929736205,0.24945770065075923,0,Down,-1.3158076640431149
E2F2,3,3.0,0.013234846814683541,0.21575984990619138,0,Down,-1.3690225153559223
MICALL2,3,3.0,0.008695652173913044,0.19392917369308602,0,Up,1.3901933202051664
DCLK1,3,3.0,0.0009912520968597095,0.2368692070030896,0,Up,2.337747248172709
MICAL1,3,3.0,0.0023091867101739908,0.2123730378578024,0,Up,1.2991611443693454
SHANK3,3,3.0,0.01661287260299981,0.23809523809523808,0,Up,2.149083135193304
MAPK8IP2,3,3.0,0.0005885703436491361,0.19541206457094307,0,Up,3.638495769287529
MAML2,3,3.0,0.031259708237754265,0.28083028083028083,0,Down,-2.141228680084627
TNFRSF25,3,3.0,0.0004845513423898262,0.25164113785557984,0,Up,1.1705065960805838
MCOLN2,3,3.0,0.00284972615711911,0.2646720368239356,0,Down,-1.037844493786252
SKAP2,2,2.0,0.002691874193509152,0.23858921161825727,0,Down,-1.3962855907660776
CHPF,2,2.0,0.008695652173913044,0.16606498194945848,0,Up,1.294315940073094
TMSB10,2,2.0,0.0005647938543324912,0.249728555917481,0,Up,1.8561903807641225
PYGL,2,2.0,0.0,0.19055509527754763,0,Up,2.020875940350503
AGL,2,2.0,0.0,0.19055509527754763,0,Down,-1.0786156016541693
