gene,boruta_hits,boruta_padj,gini
MYO5B,100.0,3.3132158019282496e-29,0.09740188405872657
MAPK8IP2,100.0,3.3132158019282496e-29,0.09085779529878052
PLEKHA7,100.0,3.3132158019282496e-29,0.0870612488059764
LAMB1,100.0,3.3132158019282496e-29,0.07739184980619206
ADGRB1,100.0,3.3132158019282496e-29,0.06872905969604076
SPTSSB,100.0,3.3132158019282496e-29,0.054148360278924536
ISG15,100.0,3.3132158019282496e-29,0.053642638673471944
PARP12,100.0,3.3132158019282496e-29,0.052525837438553956
TMSB10,100.0,3.3132158019282496e-29,0.0519294306459335
MMP16,100.0,3.3132158019282496e-29,0.04381905228035105
SH3TC1,100.0,3.3132158019282496e-29,0.042154455550779735
MAL2,100.0,3.3132158019282496e-29,0.040888915373353145
DOC2B,100.0,3.3132158019282496e-29,0.03466718485979419
ABCG2,100.0,3.3132158019282496e-29,0.032926275269406245
LGALS3BP,100.0,3.3132158019282496e-29,0.03146422532712623
FADS3,100.0,3.3132158019282496e-29,0.030860307301823618
KLF13,100.0,3.3132158019282496e-29,0.028208142259652014
PID1,100.0,3.3132158019282496e-29,0.02288384705774741
HELZ2,100.0,3.3132158019282496e-29,0.018426643096375716
OASL,100.0,3.3132158019282496e-29,0.006837400740818634
SLC1A1,100.0,3.3132158019282496e-29,0.005868444266993311
EYA2,98.0,1.6735053015539589e-25,0.005567560739203318
MYADM,98.0,1.6735053015539589e-25,0.004726570260085309
NCKAP5,100.0,3.3132158019282496e-29,0.004722462572465114
MARCKS,100.0,3.3132158019282496e-29,0.0034535960670075555
RNF152,100.0,3.3132158019282496e-29,0.002087225266378501
DDX60,100.0,3.3132158019282496e-29,0.0017278157285170268
CMPK2,89.0,5.335792004533841e-15,0.0011215011483197627
CASP4,98.0,1.6735053015539589e-25,0.0010065208872740562
DDX60L,80.0,2.3434087020229097e-08,0.0008947226675603624
IFIT3,58.0,1.0,0.00038278616705567905
RIPPLY3,47.0,1.0,0.00026662200932153405
TET1,66.0,0.03758853822122391,0.0002473386157701948
IRF7,89.0,5.335792004533841e-15,0.00022827984595866208
STAT1,83.0,2.750579716514746e-10,0.00019869450915217506
RSAD2,36.0,1.0,0.00017752488916543524
IRF1,92.0,6.7379837033124064e-18,0.0001681211059471929
IFIT1,48.0,1.0,0.00010858400586940567
IFI6,59.0,1.0,5.709876543209875e-05
IFI44,62.0,0.44055344923488615,5.5472263868065907e-05
IFIT2,52.0,1.0,5.425219941348972e-05
IGFBP3,34.0,1.0,5.425219941348972e-05
