compound,vina_kcal_mol,seconds
"phosphotyrosine (crystal ligand)",-4.583,12.5
"palbociclib",-5.634,34.8
"NICOTINE",-3.675,3.0
"NALIDIXIC ACID",-5.382,4.9
"SULBACTAM",-4.513,3.5
"TAZOBACTAM",-5.253,9.6
"CIPROFLOXACIN",-5.527,11.8
"NORFLOXACIN",-5.492,10.4
"AMPHETAMINE",-3.443,3.1
"ISOSORBIDE DINITRATE",-4.907,6.1
"IMIPRAMINE",-3.385,27.8
"FLUMAZENIL",-4.934,8.7
"DIAZEPAM",-4.085,20.0
"DIETHYLSTILBESTROL",-4.241,13.2
"MECAMYLAMINE",-3.303,2.4
"CARBACHOL",-3.675,3.8
"PHENYTOIN",-5.695,5.7
"CLOMIPRAMINE",-3.308,35.8
"METHOXSALEN",-5.338,3.7
"DICHLORPHENAMIDE",-4.513,6.3
"ETHOXZOLAMIDE",-4.643,6.0
"METHAZOLAMIDE",-4.355,4.0
"ACETAZOLAMIDE",-5.165,4.0
"MAFENIDE",-4.341,5.7
"SULFANILAMIDE",-4.263,3.9
"GUANABENZ",-4.382,4.0
"TRIMETHOPRIM",-4.743,16.6
"ASPIRIN",-4.634,4.6
"SULPIRIDE",-5.150,20.9
"SALICYLIC ACID",-4.502,2.5
"OLSALAZINE",-5.414,17.7
"PROPRANOLOL",-4.472,13.4
"PENICILLIN G",-4.652,14.9
"CIMETIDINE",-4.748,13.5
"VALPROATE SODIUM",-3.741,7.8
"ISOPROTERENOL",-4.739,15.2
"HYDROCHLOROTHIAZIDE",-5.014,10.5
"FUROSEMIDE",-5.381,28.7
"PYRIMETHAMINE",-4.547,11.2
"SULFADIAZINE",-4.641,14.1
"THIAMYLAL",-3.548,13.4
"THIOPENTAL",-3.792,7.5
"TRETINOIN",-5.104,12.4
"METHOHEXITAL",-4.395,7.8
"FLUOXETINE",-4.348,18.9
"SULFAMETHOXAZOLE",-4.873,7.1
"BARBITAL",-4.885,3.0
"CLOZAPINE",-5.131,4.4
"NORTRIPTYLINE",-3.370,27.7
"BUTABARBITAL",-4.975,3.3
"METHARBITAL",-4.312,2.7
"CHLORDIAZEPOXIDE",-3.971,17.9
"CLONAZEPAM",-4.878,26.9
"SULFISOXAZOLE",-5.278,7.5
"BUTALBITAL",-4.814,4.9
"SULFACETAMIDE",-4.426,4.5
"ETHACRYNIC ACID",-4.638,13.2
"GEMFIBROZIL",-4.690,14.3
"MELATONIN",-4.596,8.6
"ONDANSETRON",-4.643,8.5
"METHYLDOPA",-4.596,8.3
"MOLINDONE",-4.580,9.0
"APOMORPHINE",-5.386,4.2
"AMINOHIPPURIC ACID",-4.753,6.3
"NEVIRAPINE",-4.931,5.0
"DRONABINOL",-5.281,10.9
"DOPAMINE",-4.313,4.1
"ISONIAZID",-4.471,2.8
"SOTALOL",-4.575,14.5
"DACARBAZINE",-4.241,4.4
"ADENOSINE",-5.225,9.5
"MORPHINE",-5.572,3.9
"CHLORPROMAZINE",-4.454,11.1
"DESIPRAMINE",-2.904,28.7
"AMINOGLUTETHIMIDE",-4.408,6.2
"PAROXETINE",-4.601,16.8
"LIDOCAINE",-3.770,9.0
"NALOXONE",-5.701,8.3
"AGOMELATINE",-4.776,9.2
"CYCLOPHOSPHAMIDE ANHYDROUS",-3.616,5.5
"CHLORPROPAMIDE",-4.856,8.0
"TIMOLOL",-4.780,22.3
"PINDOLOL",-4.277,12.4
"HYDRALAZINE",-5.531,3.8
"AMPHETAMINE SULFATE",-3.443,3.1
"ZILEUTON",-4.830,7.5
"PHYSOSTIGMINE",-4.626,6.5
"TACRINE",-4.813,3.4
"OZAGREL",-4.574,7.2
"CHLORPHENIRAMINE",-4.201,8.6
"PRIMAQUINE",-4.617,12.9
"MECLOFENAMIC ACID",-5.070,8.5
"CARMUSTINE",-4.238,5.2
"LOMUSTINE",-4.611,6.9
"CYPROHEPTADINE",-5.149,3.7
"INAMRINONE",-4.429,3.8
"IBUPROFEN",-4.399,6.3
"NITRAZEPAM",-4.719,20.7
"METHOXAMINE",-4.193,7.1
"PROPOFOL",-3.838,4.1
"PIROXICAM",-5.448,9.5
"AMDINOCILLIN",-3.162,28.9
"PROGESTERONE",-4.558,5.0
"KETOTIFEN",-3.355,20.7
"CLOTRIMAZOLE",-4.376,15.9
"MITOMYCIN",-5.202,20.6
"FLUCONAZOLE",-5.025,17.5
"ISOTRETINOIN",-5.077,15.1
"NEOSTIGMINE",-4.280,6.1
"REBOXETINE",-4.446,21.8
"CITALOPRAM",-4.373,20.9
"PILOCARPINE",-4.282,11.0
"CARBAMAZEPINE",-4.884,6.2
"VALPROIC ACID",-3.741,8.3
