gene,median_diff_high_minus_low,p,FDR
CD274,-0.15230000000000032,0.0017489726926810667,0.0029982389017389715
PDCD1,-0.16715000000000035,0.00531645387355902,0.00708860516474536
PDCD1LG2,-0.05910000000000082,0.45541076786509616,0.4554107678650962
CTLA4,-0.4505499999999998,0.0001012706346771771,0.00024304952322522504
LAG3,-0.9605000000000006,1.2476907184118893e-15,7.486144310471336e-15
HAVCR2,-0.13460000000000072,0.0837853224009114,0.09140216989190333
TIGIT,-0.44069999999999965,0.0001764161168174608,0.00035283223363492155
IDO1,-0.9087999999999994,5.7900277146612994e-08,2.3160110858645197e-07
CD276,0.41615,1.2516797181954137e-18,1.5020156618344965e-17
CD8A,-0.22330000000000005,0.0043859296939173726,0.006578894540876059
GZMB,-0.5515000000000008,4.555700948963769e-06,1.3667102846891309e-05
PRF1,-0.20305000000000017,0.03096348420945938,0.03715618105135125
