pathway,rho,p,FDR
Interferon Alpha Response,-0.4768103363368346,8.252074538071149e-38,4.1260372690355745e-36
Oxidative Phosphorylation,-0.34413414473518505,2.5810453557208397e-19,1.1732024344185634e-18
Interferon Gamma Response,-0.3278719226329316,1.403253587836292e-17,5.846889949317883e-17
DNA Repair,-0.31942637515831285,1.0189087022276555e-16,3.918879623952521e-16
Myc Targets V1,-0.27919760663597176,5.602592969619354e-13,1.7508103030060481e-12
mTORC1 Signaling,-0.25810770661736554,3.029362287675066e-11,8.414895243541851e-11
Reactive Oxygen Species Pathway,-0.21547349494143747,3.425391373982385e-08,8.155693747577106e-08
Unfolded Protein Response,-0.2008733713154718,2.804003632310883e-07,6.372735527979279e-07
E2F Targets,-0.17383833887290928,9.27943060771152e-06,1.7184130755021333e-05
Myc Targets V2,-0.16899143185572288,1.6483172664028862e-05,2.9434236900051537e-05
Fatty Acid Metabolism,-0.13303987438431894,0.0007195169239303775,0.0011991948732172958
Pperoxisome,-0.11083437054621752,0.00489777722553754,0.007882002663903974
G2-M Checkpoint,-0.10700114408636087,0.006611648149087689,0.010017648710738923
Allograft Rejection,-0.10570579782667827,0.007302325625735588,0.010431893751050839
PI3K/AKT/mTOR  Signaling,-0.10508708119492341,0.0076544722095026555,0.010631211402087021
Glycolysis,-0.09490491119360264,0.01607100146317363,0.02171756954482923
UV Response Up,-0.06691144800455648,0.09001810168035274,0.10716440676232468
Adipogenesis,-0.015771970308462762,0.6897579886372842,0.7337850942949832
IL-6/JAK/STAT3 Signaling,-0.005650466766110307,0.8862872198308177,0.9232158539904352
Cholesterol Homeostasis,-0.0020252847328793523,0.9591213919245499,0.9786952978821938
Protein Secretion,-2.3111031987925207e-05,0.9995333201940019,0.999533320194002
Spermatogenesis,0.017184000196443772,0.6636157052504666,0.7213214187505071
Complement,0.02013386162504319,0.6103306391245048,0.6781451545827831
Inflammatory Response,0.030327451726154853,0.44266131316796953,0.5030242195090563
Estrogen Response Late,0.05568273644729814,0.15844554362771485,0.18423900421827308
Xenobiotic Metabolism,0.07865456057848358,0.0461862278271148,0.056324668081847315
p53 Pathway,0.07872574436255576,0.045988664453928574,0.056324668081847315
heme Metabolism,0.08652553710354312,0.028241648847953788,0.036207242112761266
TNF-alpha Signaling via NF-kB,0.09180591138670616,0.019893395939058922,0.02617552097244595
IL-2/STAT5 Signaling,0.10655539908464064,0.00684240792657619,0.010062364597906161
Apoptosis,0.11046238223642749,0.005044481704898543,0.007882002663903974
Androgen Response,0.1370315829404834,0.0004931314088312509,0.0008502265669504326
Bile Acid Metabolism,0.1801278347012326,4.2997384877144935e-06,8.26872786098941e-06
Estrogen Response Early,0.18550597948300082,2.1800877498736683e-06,4.360175499747337e-06
KRAS Signaling Up,0.1954254871891307,5.911697117833878e-07,1.2316035662153912e-06
KRAS Signaling Dn,0.19546638288245305,5.879144153765821e-07,1.2316035662153912e-06
Pancreas Beta Cells,0.2437647834997343,3.7533065760272567e-10,9.383266440068142e-10
Hypoxia,0.25020906004814863,1.2351544771875178e-10,3.2504065189145207e-10
Coagulation,0.2589183531475826,2.6153524363137213e-11,7.692213047981534e-11
Mitotic Spindle,0.2802313739300879,4.565757731276153e-13,1.5219192437587177e-12
Apical Surface,0.31639111124432057,2.046376977524608e-16,7.308489205445029e-16
Notch Signaling,0.34823563069329216,9.071635926071475e-20,4.535817963035737e-19
Myogenesis,0.3859073801920942,2.9030334148937345e-24,1.61279634160763e-23
Wnt-beta Catenin Signaling,0.3907780753222838,6.877540544088492e-25,4.298462840055307e-24
Apical Junction,0.42001488494903977,7.193694737829511e-29,5.138353384163936e-28
Epithelial Mesenchymal Transition,0.4326215917885781,1.0368718493357058e-30,8.640598744464216e-30
Angiogenesis,0.4393037494670244,1.0182901769341354e-31,1.0182901769341355e-30
UV Response Dn,0.4503249582624693,1.976122294427324e-33,2.470152868034155e-32
TGF-beta Signaling,0.45492852236276715,3.6469686650227512e-34,6.078281108371252e-33
Hedgehog Signaling,0.46959581242544773,1.4051292824513275e-36,3.5128232061283187e-35
