gene,cohort,HR,lower,upper,p
MAPK8IP2,TCGA,0.9371077724767282,0.7512016502065754,1.169021629538226,0.5647736286580671
MAPK8IP2,METABRIC,0.9427870762279841,0.8630973771450958,1.0298345176793255,0.1910280958734465
NCKAP5,TCGA,1.0901439723982778,0.8597649099482231,1.382254459103089,0.47611522489081726
NCKAP5,METABRIC,1.0331562972917383,0.9493502278583457,1.1243605397784193,0.44980751303669086
FADS3,TCGA,0.9206259019754456,0.7323760560620356,1.1572634637256782,0.4785839224403575
FADS3,METABRIC,0.8883832580567061,0.8153753413907683,0.9679282327195281,0.006829593762459072
PID1,TCGA,1.0693531927323394,0.8612742187371379,1.327702868528392,0.5436263640169159
PID1,METABRIC,0.916075360444332,0.8370915092163671,1.002511740680316,0.05671918929440387
PARP12,TCGA,0.7832792929050483,0.6170051425616255,0.9943619726517178,0.044809028087683334
PARP12,METABRIC,1.089185411724305,1.0014466695899615,1.1846111202294771,0.04618075218497101
RNF152,TCGA,1.0437004723329377,0.8499711596987656,1.2815854555983461,0.6830540668360058
RNF152,METABRIC,1.062025599387378,0.9783703954793618,1.1528337110011335,0.15054387965723318
CASP4,TCGA,0.880745939203136,0.7180500602745132,1.0803054721926437,0.22296235281880095
CASP4,METABRIC,1.0047232917613755,0.9216498567817567,1.0952845981365489,0.9147748577094259
MAL2,TCGA,0.9653267582649049,0.7721351498089161,1.2068557563437448,0.7567635226363739
MAL2,METABRIC,1.1232693779446195,1.0328709502258246,1.2215796127795344,0.006616764439621049
SH3TC1,TCGA,1.1229544760953503,0.8932373324887632,1.41174882589051,0.32065946912339727
SH3TC1,METABRIC,1.0177204514344511,0.9341980266231672,1.108710238890005,0.6876511355512682
LAMB1,TCGA,1.2191396643676937,0.9627989485008855,1.543729896619435,0.09992372594757865
LAMB1,METABRIC,0.9292109122124216,0.8527646471444003,1.012510218693944,0.09370605183904228
MYADM,TCGA,1.003394211956484,0.8023525251859789,1.2548099656748828,0.9763041749615032
MYADM,METABRIC,0.9747767309884044,0.8965535740271628,1.0598247587239582,0.5494503949373323
MARCKS,TCGA,0.9808580206173299,0.7859436168084983,1.2241112925073425,0.8642300821781532
MARCKS,METABRIC,1.044542623313512,0.9595081899474552,1.137113057866054,0.3144606937390054
LGALS3BP,TCGA,0.9462885233030346,0.7561564857585114,1.184228378913906,0.6295050470802368
LGALS3BP,METABRIC,1.043767538876703,0.9562346396056725,1.1393131247180002,0.33777441148906673
SLC1A1,TCGA,1.0128990043784407,0.8115439932503372,1.2642129097175847,0.9097593120986587
SLC1A1,METABRIC,0.9602130011114096,0.8806204933904178,1.0469992629329063,0.35775288626779134
