gene,n_F_sites,n_R_sites,n_amplicons,accessions
ACTB,2,35,1,NM_001101.5
CASP4,4,10,4,NM_001225.4;NM_033306.3;XM_011543019.2;XM_054370131.1
GAPDH,7,5,5,NM_001256799.3;NM_001289745.3;NM_001289746.2;NM_001357943.2;NM_002046.7
ISG15,1,1,1,NM_005101.4
LAMB1,8,8,8,NM_002291.3;XM_047420359.1;XM_047420360.1;XM_054358190.1;XM_054358191.1;XM_054358192.1;XM_054358193.1;XM_054358194.1
LGALS3BP,2,2,2,NM_005567.4;XM_054316043.1
MARCKS,1,1,1,NM_002356.7
PARP12,7,6,4,NM_022750.4;NR_130117.2;XM_047420739.1;XM_054358837.1
RPLP0,2,2,2,NM_001002.4;NM_053275.4
SH3TC1,25,30,25,NM_001318480.2;NM_001410712.1;NM_018986.5;XM_006713889.3;XM_011513488.1;XM_017008300.3;XM_024454094.2;XM_047415790.1;XM_047415791.1;XM_047415792.1;XM_047415794.1;XM_054350199.1;XM_054350200.1;XM_054350201.1;XM_054350202.1;XM_054350203.1;XM_054350204.1;XM_054350205.1;XM_054350206.1;XM_054350207.1;XM_054350208.1;XM_054350209.1;XR_007057930.1;XR_007057931.1;XR_007057932.1
STAT1,14,12,12,NM_001384880.1;NM_001384881.1;NM_001384882.1;NM_001384883.1;NM_001384885.1;NM_001384886.1;NM_001384887.1;NM_001384888.1;NM_001384890.1;NM_001384891.1;NM_001437284.1;NM_007315.4
TBP,2,11,2,NM_001172085.2;NM_003194.5
